TQ,DPQ,C,OU,DI,DFT,RD,DFO,DI2,DFT2,RD2,DFO2,DI3,DFT3,RD3,DFO3
3,2,0,2,58,43,15,15,15,15,0,0,0,0,0,0
4,4,2,2,45,30,15,6,15,14,1,0,1,1,0,0
3,2,0,0,15,14,1,1,1,1,0,0,0,0,0,0
2,0,3,3,44,30,14,11,14,9,5,3,5,0,5,1
4,0,3,1,13,10,3,0,3,1,2,2,2,1,1,1
0,2,2,2,17,8,9,0,9,1,8,0,8,8,0,0
2,4,1,0,22,2,20,5,20,8,12,3,12,1,11,5
2,1,2,4,73,17,56,0,56,47,9,2,9,5,4,0
4,1,0,1,53,33,20,4,20,20,0,0,0,0,0,0
0,2,3,4,3,0,3,1,3,0,3,3,3,3,0,0
2,2,2,1,41,15,26,0,26,15,11,2,11,1,10,8
3,1,3,0,36,19,17,14,17,9,8,8,8,5,3,3
3,0,1,1,29,16,13,10,13,0,13,5,13,7,6,4
1,1,0,2,45,35,10,5,10,1,9,5,9,5,4,4
3,2,2,2,41,5,36,16,36,13,23,2,23,21,2,0
2,0,4,1,52,37,15,4,15,2,13,2,13,2,11,0
4,4,3,1,13,3,10,3,10,9,1,0,1,0,1,0
3,2,1,1,50,18,32,25,32,16,16,0,16,5,11,10
4,1,1,0,49,5,44,32,44,19,25,7,25,18,7,7
4,1,1,4,8,6,2,2,2,1,1,0,1,1,0,0
4,3,0,0,34,1,33,26,33,12,21,7,21,10,11,1
3,4,2,4,50,44,6,0,6,6,0,0,0,0,0,0
2,3,0,4,4,0,4,4,4,2,2,2,2,2,0,0
0,2,4,0,59,44,15,8,15,1,14,10,14,9,5,1
4,3,0,3,6,4,2,2,2,1,1,0,1,0,1,0
2,4,3,0,21,13,8,5,8,8,0,0,0,0,0,0
0,1,2,0,63,62,1,0,1,1,0,0,0,0,0,0
1,3,2,0,25,3,22,9,22,5,17,10,17,0,17,12
3,1,4,4,39,33,6,1,6,0,6,0,6,4,2,1
1,1,0,4,46,3,43,17,43,9,34,4,34,2,32,26
2,2,1,0,20,18,2,2,2,2,0,0,0,0,0,0
2,1,2,1,24,1,23,19,23,1,22,16,22,17,5,3
4,1,2,2,18,4,14,2,14,11,3,0,3,1,2,1
3,4,3,1,33,0,33,20,33,5,28,27,28,28,0,0
4,3,0,3,62,41,21,14,21,5,16,8,16,5,11,8
1,4,1,3,8,7,1,0,1,1,0,0,0,0,0,0
4,1,3,1,50,7,43,19,43,41,2,2,2,2,0,0
3,0,0,2,38,5,33,13,33,24,9,5,9,4,5,4
2,0,0,1,48,17,31,8,31,8,23,1,23,1,22,10
1,4,1,1,24,17,7,0,7,2,5,3,5,2,3,0
0,2,2,0,47,23,24,11,24,14,10,5,10,4,6,1
2,1,4,0,54,13,41,24,41,25,16,14,16,5,11,4
1,4,3,4,6,4,2,2,2,2,0,0,0,0,0,0
2,0,3,2,32,7,25,9,25,24,1,1,1,0,1,0
1,3,1,3,54,5,49,14,49,18,31,10,31,4,27,19
3,3,4,3,50,50,0,0,0,0,0,0,0,0,0,0
2,3,4,3,31,28,3,2,3,3,0,0,0,0,0,0
1,3,0,0,43,36,7,6,7,5,2,0,2,0,2,0
1,1,3,1,36,19,17,4,17,12,5,1,5,0,5,0
1,1,3,3,32,32,0,0,0,0,0,0,0,0,0,0
0,2,1,4,54,15,39,27,39,28,11,0,11,10,1,1
3,4,3,3,25,15,10,1,10,7,3,2,3,1,2,2
3,2,0,0,12,0,12,3,12,9,3,3,3,0,3,0
4,3,4,1,42,15,27,26,27,17,10,2,10,6,4,3
1,0,4,4,50,20,30,20,30,9,21,5,21,21,0,0
4,1,3,0,58,0,58,57,58,20,38,5,38,16,22,13
0,0,2,4,60,5,55,46,55,15,40,35,40,3,37,3
1,3,1,0,17,10,7,5,7,6,1,1,1,1,0,0
1,4,0,4,23,12,11,7,11,10,1,0,1,0,1,0
1,3,2,3,42,29,13,13,13,9,4,3,4,3,1,1
2,4,2,1,21,9,12,1,12,4,8,6,8,4,4,2
4,2,0,0,53,8,45,45,45,21,24,18,24,16,8,2
